"Action","Action"
"Action Group:","Action Group:"
"Action Group","Action Group"
"Action Log","Action Log"
"Action Time","Action Time"
"Action Type:","Action Type:"
"Action Type","Action Type"
"Add Slides","Add Slides"
"Admin Permission Roles","Admin Permission Roles"
"Admin Permission Users","Admin Permission Users"
"Admin Session","Admin Session"
"aheadWorks Help Desk Ultimate Ticket","aheadWorks Help Desk Ultimate Ticket"
"All Store Views","All Store Views"
"Apply","Apply"
"Attribute Code","Attribute Code"
"Cache Management","Cache Management"
"Cancel","Cancel"
"Catalog Attributes","Catalog Attributes"
"Catalog Attribute Sets","Catalog Attribute Sets"
"Catalog Category","Catalog Category"
"Catalog Price Rules","Catalog Price Rules"
"Catalog Product","Catalog Product"
"Catalog Ratings","Catalog Ratings"
"Catalog Reviews","Catalog Reviews"
"Catalog Search Terms","Catalog Search Terms"
"Catalog Tags","Catalog Tags"
"Changed To","Changed To"
"Clean Catalog Image","Clean Catalog Image"
"Clean Media","Clean Media"
"Cms Blocks","Cms Blocks"
"Cms Pages","Cms Pages"
"Cms Polls","Cms Polls"
"Config Path","Config Path"
"Create","Create"
"CSV","CSV"
"Customer Groups","Customer Groups"
"Customers","Customers"
"Customer Tax Classes","Customer Tax Classes"
"Delete","Delete"
"Details","Details"
"Disabled","Disabled"
"Enabled","Enabled"
"Entity:","Entity:"
"Flush All","Flush All"
"Flush System","Flush System"
"From","From"
"Google Sitemap","Google Sitemap"
"Hold","Hold"
"ID","ID"
"Import","Import"
"Index Management","Index Management"
"IP Address","IP Address"
"Item does not exist","Item does not exist"
"Load","Load"
"Login Failed","Login Failed"
"Login Success","Login Success"
"Magpleasure Active Content Slide Rotators","Magpleasure Active Content Slide Rotators"
"Magpleasure Active Content Slides","Magpleasure Active Content Slides"
"Magpleasure Blog Pro Category","Magpleasure Blog Pro Category"
"Magpleasure Blog Pro Comment","Magpleasure Blog Pro Comment"
"Magpleasure Blog Pro Post","Magpleasure Blog Pro Post"
"Magpleasure Blog Pro Tag","Magpleasure Blog Pro Tag"
"Magpleasure Guestbook Messages","Magpleasure Guestbook Messages"
"Manage Currency Rates","Manage Currency Rates"
"Manage Stores","Manage Stores"
"Manage Store Views","Manage Store Views"
"Manage Websites","Manage Websites"
"Mass Attribute Update","Mass Attribute Update"
"Mass Cancel","Mass Cancel"
"Mass Change Mode","Mass Change Mode"
"Mass Disable","Mass Disable"
"Mass Enable","Mass Enable"
"Mass Hold","Mass Hold"
"Mass Print All","Mass Print All"
"Mass Print Credit Memos","Mass Print Credit Memos"
"Mass Print Invoices","Mass Print Invoices"
"Mass Print Packingslips","Mass Print Packingslips"
"Mass Print Shipping Labels","Mass Print Shipping Labels"
"Mass Refresh","Mass Refresh"
"Mass Reindex","Mass Reindex"
"Mass Unhold","Mass Unhold"
"n/a","n/a"
"Newsletter Queue","Newsletter Queue"
"Newsletter subscribers","Newsletter subscribers"
"Newsletter templates","Newsletter templates"
"Not found","Not found"
"Orders","Orders"
"Print","Print"
"Product Tax Classes","Product Tax Classes"
"Reindex","Reindex"
"Remote Address:","Remote Address:"
"Sales Credit Memos","Sales Credit Memos"
"Sales Invoices","Sales Invoices"
"Sales Orders","Sales Orders"
"Sales Shipments","Sales Shipments"
"Sales Transactions","Sales Transactions"
"Save and Email","Save and Email"
"Save and Generate","Save and Generate"
"Save","Save"
"Section:","Section:"
"Send Email","Send Email"
"Send Tracking Information","Send Tracking Information"
"Shopping Cart Price Rules","Shopping Cart Price Rules"
"%s %s (%s)","%s %s (%s)"
"Store View Filter","Store View Filter"
"Store View:","Store View:"
"Summary","Summary"
"System Backups","System Backups"
"System Configuration","System Configuration"
"System Design","System Design"
"Tax Rates","Tax Rates"
"Tax Rules","Tax Rules"
"Time:","Time:"
"To","To"
"Transactional Emails","Transactional Emails"
"Unhold","Unhold"
"Unsubscribed","Unsubscribed"
"URL Rewrites","URL Rewrites"
"User:","User:"
"User","User"
"View","View"
"Webservices API Roles","Webservices API Roles"
"Webservices API Users","Webservices API Users"
"Website View:","Website View:"
"XML","XML"
