Tracking post dispatch events?,Rastrear eventos pos despachos?
Shipped at Intelipost,Despachado na Intelipost
Ready for Shipping at Intelipost,Preparado para despacho na Intelipost
New Intelipost Ship Order,Novo pedido de envio na Intelipost
Tracking pre dispatch events?,Rastrear eventos pre despacho?
Tracking,Rastreamento
"Order statuses","Status dos pedidos"
Active,Ativo
"Delivered","Entregue"
In transit,Em trânsito
"Occurrence","Ocorrência"
Save tracking data in order details?,Salvar informação de rastreamento nos comentários dos pedidos?
To be Delivered,Saiu para entrega
Delivered,Entregue
Ship Order Created at Intelipost,Pedido de envio criado na Intelipost
Delivery Late,Averiguar falha na entrega
Delivery Failed,Falha na entrega
